|成交日期| 交易所 |       品种       |      合约      |买/卖|   投/保    |  成交价  | 手数 |   成交额   |       开平       |  手续费  |  平仓盈亏  |     权利金收支      |  成交序号  |
|  Date  |Exchange|     Product      |   Instrument   | B/S |    S/H     |   Price  | Lots |  Turnover  |       O/C        |   Fee    |Realized P/L|Premium Received/Paid|  Trans.No. |
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|20190521|大商所  |聚丙烯            |     pp1909     |买   |投机        |  8469.000|     1|    42345.00|  平              |      1.30|      -50.00|                 0.00|30782574    |
|20190521|大商所  |聚丙烯            |     pp1909     |买   |投机        |  8469.000|     1|    42345.00|  平              |      1.30|      -50.00|                 0.00|30782578    |
|20190521|大商所  |聚丙烯            |     pp1909     |买   |投机        |  8469.000|     1|    42345.00|  平              |      1.30|      -50.00|                 0.00|30782579    |
|20190521|大商所  |聚丙烯            |     pp1909     |买   |投机        |  8469.000|    10|   423450.00|  平              |     12.96|     -500.00|                 0.00|30782580    |
|20190521|大商所  |聚丙烯            |     pp1909     |买   |投机        |  8469.000|     5|   211725.00|  平              |      6.48|     -250.00|                 0.00|30782581    |
|20190521|大商所  |聚丙烯            |     pp1909     |买   |投机        |  8469.000|     1|    42345.00|  平              |      1.30|      -50.00|                 0.00|30782582    |
|20190521|大商所  |铁矿石            |     i1909      |   卖|投机        |   699.000|     3|   209700.00|  平              |     12.71|    -2550.00|                 0.00|30073005    |
|20190521|大商所  |线型低密度聚乙烯  |     l1909      |买   |投机        |  7960.000|    10|   398000.00|开                |     20.24|        0.00|                 0.00|30360859    |
|20190521|大商所  |线型低密度聚乙烯  |     l1909      |买   |投机        |  7965.000|    10|   398250.00|开                |     20.24|        0.00|                 0.00|30365912    |
|20190521|大商所  |线型低密度聚乙烯  |     l1909      |买   |投机        |  7990.000|    20|   799000.00|开                |     40.48|        0.00|                 0.00|30671000    |
|20190521|大商所  |线型低密度聚乙烯  |     l1909      |   卖|投机        |  8005.000|     4|   160100.00|  平              |      0.10|     1900.00|                 0.00|30744634    |
|20190521|大商所  |线型低密度聚乙烯  |     l1909      |   卖|投机        |  8005.000|     8|   320200.00|  平              |      0.19|     3800.00|                 0.00|30744635    |
|20190521|大商所  |线型低密度聚乙烯  |     l1909      |   卖|投机        |  8005.000|     2|    80050.00|  平              |      0.05|      950.00|                 0.00|30744636    |
|20190521|大商所  |线型低密度聚乙烯  |     l1909      |   卖|投机        |  8005.000|     6|   240150.00|  平              |      0.14|     2850.00|                 0.00|30744637    |
|20190521|大商所  |线型低密度聚乙烯  |     l1909      |   卖|投机        |  8040.000|    20|   804000.00|  平              |      0.48|    13000.00|                 0.00|30780951    |
|20190521|大商所  |乙二醇            |     eg1909     |   卖|投机        |  4426.000|     5|   221300.00|开                |     20.13|        0.00|                 0.00|30089472    |
|20190521|大商所  |乙二醇            |     eg1909     |   卖|投机        |  4441.000|     3|   133230.00|开                |     12.08|        0.00|                 0.00|30229415    |
|20190521|大商所  |乙二醇            |     eg1909     |   卖|投机        |  4441.000|     1|    44410.00|开                |      4.03|        0.00|                 0.00|30229447    |
|20190521|大商所  |乙二醇            |     eg1909     |   卖|投机        |  4441.000|     1|    44410.00|开                |      4.03|        0.00|                 0.00|30229454    |
|20190521|大商所  |乙二醇            |     eg1909     |买   |投机        |  4445.000|    10|   444500.00|  平              |      0.27|    -1150.00|                 0.00|30392090    |
