|成交日期| 交易所 |       品种       |      合约      |买/卖|   投/保    |  成交价  | 手数 |   成交额   |       开平       |  手续费  |  平仓盈亏  |     权利金收支      |  成交序号  |
|  Date  |Exchange|     Product      |   Instrument   | B/S |    S/H     |   Price  | Lots |  Turnover  |       O/C        |   Fee    |Realized P/L|Premium Received/Paid|  Trans.No. |
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|20190927|大商所  |黄玉米            |     c2005      |买   |投机        |  1908.000|     5|    95400.00|开                |      6.06|        0.00|                 0.00|10443845    |
|20190927|大商所  |黄玉米            |     c2005      |买   |投机        |  1906.000|     2|    38120.00|开                |      2.42|        0.00|                 0.00|10499539    |
|20190927|大商所  |黄玉米            |     c2005      |买   |投机        |  1905.000|     3|    57150.00|开                |      3.63|        0.00|                 0.00|10506691    |
|20190927|大商所  |黄玉米            |     c2005      |   卖|投机        |  1906.000|    20|   381200.00|开                |     24.23|        0.00|                 0.00|10572175    |
|20190927|大商所  |黄玉米            |     c2005      |   卖|投机        |  1907.000|    30|   572100.00|开                |     36.34|        0.00|                 0.00|10575664    |
|20190927|大商所  |黄玉米            |     c2005      |   卖|投机        |  1908.000|    30|   572400.00|开                |     36.34|        0.00|                 0.00|10577885    |
|20190927|大商所  |黄玉米            |     c2005      |   卖|投机        |  1907.000|    10|   190700.00|开                |     12.11|        0.00|                 0.00|10588929    |
|20190927|大商所  |黄玉米            |     c2005      |   卖|投机        |  1907.000|     3|    57210.00|开                |      3.63|        0.00|                 0.00|10596592    |
|20190927|大商所  |黄玉米            |     c2005      |   卖|投机        |  1907.000|     2|    38140.00|开                |      2.42|        0.00|                 0.00|10596593    |
|20190927|大商所  |黄玉米            |     c2005      |   卖|投机        |  1907.000|    10|   190700.00|开                |     12.11|        0.00|                 0.00|10597684    |
|20190927|大商所  |铁矿石            |     i2001      |   卖|投机        |   635.500|     5|   317750.00|开                |     47.85|        0.00|                 0.00|30000169    |
|20190927|大商所  |铁矿石            |     i2001      |   卖|投机        |   635.500|     7|   444850.00|开                |     66.99|        0.00|                 0.00|30000170    |
|20190927|大商所  |铁矿石            |     i2001      |   卖|投机        |   635.500|     2|   127100.00|开                |     19.14|        0.00|                 0.00|30000171    |
|20190927|大商所  |铁矿石            |     i2001      |   卖|投机        |   635.500|     5|   317750.00|开                |     47.85|        0.00|                 0.00|30000172    |
|20190927|大商所  |铁矿石            |     i2001      |   卖|投机        |   635.500|     1|    63550.00|开                |      9.57|        0.00|                 0.00|30000173    |
|20190927|大商所  |铁矿石            |     i2001      |买   |投机        |   642.500|   100|  6425000.00|  平              |    710.61|  -100000.00|                 0.00|30762307    |
|20190927|大商所  |线型低密度聚乙烯  |     l2001      |   卖|投机        |  7490.000|     4|   149800.00|开                |      8.09|        0.00|                 0.00|30346781    |
|20190927|上期所  |白银              |     ag1912     |买   |投机        |  4405.000|     1|    66075.00|开                |      3.34|        0.00|                 0.00|000001635309|
|20190927|上期所  |白银              |     ag1912     |   卖|投机        |  4411.000|     1|    66165.00|平今              |      3.35|       90.00|                 0.00|000001689681|
|20190927|上期所  |白银              |     ag1912     |   卖|投机        |  4415.000|     1|    66225.00|开                |      3.35|        0.00|                 0.00|000001827648|
|20190927|上期所  |白银              |     ag1912     |买   |投机        |  4405.000|     1|    66075.00|开                |      3.34|        0.00|                 0.00|000001946474|
|20190927|上期所  |白银              |     ag1912     |买   |投机        |  4403.000|     1|    66045.00|开                |      3.34|        0.00|                 0.00|000001969311|
|20190927|上期所  |白银              |     ag1912     |   卖|投机        |  4315.000|    10|   647250.00|开                |     32.75|        0.00|                 0.00|000002332432|
|20190927|上期所  |白银              |     ag1912     |买   |投机        |  4310.000|     2|   129300.00|平今              |      6.54|     1650.00|                 0.00|000002337696|
|20190927|上期所  |白银              |     ag1912     |买   |投机        |  4310.000|     4|   258600.00|平今              |     13.09|      300.00|                 0.00|000002356775|
|20190927|上期所  |白银              |     ag1912     |买   |投机        |  4308.000|     2|   129240.00|平今              |      6.54|      210.00|                 0.00|000002363393|
|20190927|上期所  |白银              |     ag1912     |买   |投机        |  4308.000|     2|   129240.00|平今              |      6.54|      210.00|                 0.00|000002363464|
|20190927|上期所  |白银              |     ag1912     |买   |投机        |  4300.000|     1|    64500.00|开                |      3.26|        0.00|                 0.00|000002398516|
|20190927|上期所  |白银              |     ag1912     |   卖|投机        |  4310.000|     1|    64650.00|平今              |      3.27|    -1425.00|                 0.00|000002417943|
|20190927|上期所  |白银              |     ag1912     |买   |投机        |  4320.000|     1|    64800.00|开                |      3.28|        0.00|                 0.00|000002431838|
|20190927|上期所  |白银              |     ag1912     |   卖|投机        |  4326.000|     1|    64890.00|平今              |      3.28|    -1155.00|                 0.00|000002437860|
|20190927|上期所  |铝                |     al1911     |   卖|投机        | 13960.000|     2|   139600.00|开                |      6.08|        0.00|                 0.00|000000314731|
|20190927|上期所  |铝                |     al1911     |   卖|投机        | 13965.000|     1|    69825.00|开                |      3.04|        0.00|                 0.00|000002388243|
|20190927|上期所  |螺纹钢            |     rb2001     |   卖|投机        |  3433.000|     1|    34330.00|开                |      3.45|        0.00|                 0.00|000002374447|
|20190927|上期所  |螺纹钢            |     rb2001     |   卖|投机        |  3433.000|     3|   102990.00|开                |     10.36|        0.00|                 0.00|000002374448|
|20190927|上期所  |螺纹钢            |     rb2001     |   卖|投机        |  3433.000|     1|    34330.00|开                |      3.45|        0.00|                 0.00|000002374449|
|20190927|上期所  |螺纹钢            |     rb2001     |   卖|投机        |  3433.000|     1|    34330.00|开                |      3.45|        0.00|                 0.00|000002374503|
|20190927|上期所  |螺纹钢            |     rb2001     |   卖|投机        |  3433.000|     6|   205980.00|开                |     20.72|        0.00|                 0.00|000002374640|
|20190927|上期所  |螺纹钢            |     rb2001     |   卖|投机        |  3433.000|     3|   102990.00|开                |     10.36|        0.00|                 0.00|000002374670|
|20190927|上期所  |天然橡胶          |     ru2001     |买   |投机        | 11435.000|     2|   228700.00|开                |     10.43|        0.00|                 0.00|000001455582|
|20190927|上期所  |天然橡胶          |     ru2001     |买   |投机        | 11435.000|     2|   228700.00|开                |     10.43|        0.00|                 0.00|000001455673|
|20190927|上期所  |天然橡胶          |     ru2001     |买   |投机        | 11435.000|     2|   228700.00|开                |     10.43|        0.00|                 0.00|000001456270|
|20190927|上期所  |天然橡胶          |     ru2001     |买   |投机        | 11435.000|     1|   114350.00|开                |      5.21|        0.00|                 0.00|000001456271|
|20190927|上期所  |天然橡胶          |     ru2001     |买   |投机        | 11435.000|     1|   114350.00|开                |      5.21|        0.00|                 0.00|000001456299|
|20190927|上期所  |天然橡胶          |     ru2001     |买   |投机        | 11435.000|     2|   228700.00|开                |     10.43|        0.00|                 0.00|000001456407|
|20190927|上期所  |天然橡胶          |     ru2001     |   卖|投机        | 11430.000|     2|   228600.00|平今              |     10.42|     -100.00|                 0.00|000001472975|
|20190927|上期所  |天然橡胶          |     ru2001     |   卖|投机        | 11425.000|     2|   228500.00|平今              |     10.42|     -200.00|                 0.00|000001476017|
|20190927|上期所  |天然橡胶          |     ru2001     |   卖|投机        | 11425.000|     3|   342750.00|平今              |     15.63|     -300.00|                 0.00|000001482141|
|20190927|上期所  |天然橡胶          |     ru2001     |   卖|投机        | 11425.000|     1|   114250.00|平今              |      5.21|     -100.00|                 0.00|000001482142|
|20190927|上期所  |天然橡胶          |     ru2005     |   卖|投机        | 11600.000|     2|   232000.00|开                |     10.58|        0.00|                 0.00|000001450656|
|20190927|上期所  |天然橡胶          |     ru2005     |   卖|投机        | 11600.000|     1|   116000.00|开                |      5.29|        0.00|                 0.00|000001450718|
|20190927|上期所  |天然橡胶          |     ru2005     |   卖|投机        | 11600.000|     1|   116000.00|开                |      5.29|        0.00|                 0.00|000001450719|
|20190927|上期所  |天然橡胶          |     ru2005     |   卖|投机        | 11600.000|     1|   116000.00|开                |      5.29|        0.00|                 0.00|000001451296|
|20190927|上期所  |天然橡胶          |     ru2005     |   卖|投机        | 11600.000|     1|   116000.00|开                |      5.29|        0.00|                 0.00|000001451297|
|20190927|上期所  |天然橡胶          |     ru2005     |   卖|投机        | 11600.000|     1|   116000.00|开                |      5.29|        0.00|                 0.00|000001451311|
|20190927|上期所  |天然橡胶          |     ru2005     |   卖|投机        | 11600.000|     1|   116000.00|开                |      5.29|        0.00|                 0.00|000001451312|
|20190927|上期所  |天然橡胶          |     ru2005     |   卖|投机        | 11600.000|     1|   116000.00|开                |      5.29|        0.00|                 0.00|000001451318|
|20190927|上期所  |天然橡胶          |     ru2005     |   卖|投机        | 11600.000|     1|   116000.00|开                |      5.29|        0.00|                 0.00|000001451319|
|20190927|上期所  |天然橡胶          |     ru2005     |   卖|投机        | 11600.000|     1|   116000.00|开                |      5.29|        0.00|                 0.00|000001451355|
|20190927|上期所  |天然橡胶          |     ru2005     |   卖|投机        | 11600.000|     1|   116000.00|开                |      5.29|        0.00|                 0.00|000001451368|
|20190927|上期所  |天然橡胶          |     ru2005     |买   |投机        | 11590.000|     1|   115900.00|平今              |      5.29|      100.00|                 0.00|000001468632|
|20190927|上期所  |天然橡胶          |     ru2005     |买   |投机        | 11590.000|     3|   347700.00|平今              |     15.86|      300.00|                 0.00|000001468634|
|20190927|上期所  |天然橡胶          |     ru2005     |买   |投机        | 11595.000|     2|   231900.00|平今              |     10.57|      100.00|                 0.00|000001479684|
|20190927|上期所  |天然橡胶          |     ru2005     |买   |投机        | 11595.000|     2|   231900.00|平今              |     10.57|      100.00|                 0.00|000001479685|
|20190927|上期所  |天然橡胶          |     ru2005     |买   |投机        | 11590.000|     2|   231800.00|平今              |     10.57|      200.00|                 0.00|000001484248|
|20190927|上期所  |铜                |     cu1911     |买   |投机        | 46990.000|     2|   469900.00|开                |     23.78|        0.00|                 0.00|000000368720|
|20190927|上期所  |铜                |     cu1911     |买   |投机        | 46700.000|     2|   467000.00|开                |     23.63|        0.00|                 0.00|000000886424|
|20190927|上期所  |铜                |     cu1911     |   卖|投机        | 46770.000|     1|   233850.00|平今              |      0.14|    -1100.00|                 0.00|000001266744|
|20190927|上期所  |铜                |     cu1911     |   卖|投机        | 46830.000|     1|   234150.00|平今              |      0.14|     -800.00|                 0.00|000001631071|
|20190927|上期所  |铜                |     cu1912     |买   |投机        | 46720.000|     2|   467200.00|开                |     23.64|        0.00|                 0.00|000000874881|
|20190927|上期所  |铜                |     cu1912     |   卖|投机        | 46890.000|     1|   234450.00|平今              |      0.14|      850.00|                 0.00|000001862564|
|20190927|郑商所  |玻璃              |     FG001      |买   |投机        |  1448.000|    10|   289600.00|  平              |     30.17|    -6600.00|                 0.00|092700377357|
|20190927|郑商所  |玻璃              |     FG001      |买   |投机        |  1448.000|     1|    28960.00|  平              |      3.02|     -660.00|                 0.00|092700377358|
