|成交日期| 交易所 |       品种       |      合约      |买/卖|   投/保    |  成交价  | 手数 |   成交额   |       开平       |  手续费  |  平仓盈亏  |     权利金收支      |  成交序号  |
|  Date  |Exchange|     Product      |   Instrument   | B/S |    S/H     |   Price  | Lots |  Turnover  |       O/C        |   Fee    |Realized P/L|Premium Received/Paid|  Trans.No. |
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|20191009|大商所  |豆粕期权          |  m2001-P-2950  |买   |投机        |    84.500|     1|      845.00|开                |      1.05|        0.00|              -845.00|10173935    |
|20191009|大商所  |豆粕期权          |  m2001-P-2950  |买   |投机        |    84.500|     1|      845.00|开                |      1.05|        0.00|              -845.00|10174027    |
|20191009|大商所  |豆粕期权          |  m2001-P-2950  |   卖|投机        |    84.500|     5|     4225.00|开                |      5.25|        0.00|              4225.00|10174031    |
|20191009|大商所  |豆粕期权          |  m2001-P-2950  |买   |投机        |    83.500|     2|     1670.00|  平              |      0.00|        0.00|             -1670.00|10183669    |
|20191009|大商所  |豆粕期权          |  m2001-P-2950  |买   |投机        |    83.500|     2|     1670.00|  平              |      0.00|        0.00|             -1670.00|10183897    |
|20191009|大商所  |豆粕期权          |  m2001-P-2950  |买   |投机        |    83.500|     1|      835.00|  平              |      0.00|        0.00|              -835.00|10184668    |
|20191009|大商所  |豆粕期权          |  m2001-P-2950  |   卖|投机        |    83.500|     2|     1670.00|  平              |      0.00|        0.00|              1670.00|10184677    |
|20191009|大商所  |豆粕期权          |  m2001-P-2950  |   卖|投机        |    83.500|     1|      835.00|  平              |      0.00|        0.00|               835.00|10184679    |
|20191009|大商所  |豆粕期权          |  m2001-P-2950  |   卖|投机        |    83.500|     1|      835.00|  平              |      0.00|        0.00|               835.00|10184824    |
|20191009|大商所  |豆粕期权          |  m2001-P-2950  |   卖|投机        |    83.500|     1|      835.00|  平              |      0.00|        0.00|               835.00|10185031    |
|20191009|大商所  |豆粕期权          |  m2001-P-2950  |买   |投机        |    78.500|     5|     3925.00|开                |      5.25|        0.00|             -3925.00|10291022    |
|20191009|大商所  |豆粕期权          |  m2001-P-2950  |   卖|投机        |    78.500|     4|     3140.00|开                |      4.20|        0.00|              3140.00|10291032    |
|20191009|大商所  |豆粕期权          |  m2001-P-2950  |   卖|投机        |    78.500|     1|      785.00|开                |      1.05|        0.00|               785.00|10291033    |
|20191009|大商所  |黄玉米            |     c2005      |   卖|投机        |  1901.000|     1|    19010.00|  平              |      1.21|       90.00|                 0.00|10441285    |
|20191009|大商所  |黄玉米            |     c2005      |   卖|投机        |  1902.000|     2|    38040.00|  平              |      2.42|      200.00|                 0.00|10444632    |
|20191009|大商所  |黄玉米            |     c2005      |   卖|投机        |  1905.000|     2|    38100.00|  平              |      2.42|      260.00|                 0.00|10455158    |
|20191009|大商所  |黄玉米            |     c2005      |买   |投机        |  1903.000|    33|   627990.00|  平              |     39.98|    -3630.00|                 0.00|10634569    |
|20191009|大商所  |黄玉米            |     c2005      |买   |投机        |  1903.000|     1|    19030.00|  平              |      1.21|     -110.00|                 0.00|10637694    |
