|成交日期| 交易所 |       品种       |      合约      |买/卖|   投/保    |  成交价  | 手数 |   成交额   |       开平       |  手续费  |  平仓盈亏  |     权利金收支      |  成交序号  |
|  Date  |Exchange|     Product      |   Instrument   | B/S |    S/H     |   Price  | Lots |  Turnover  |       O/C        |   Fee    |Realized P/L|Premium Received/Paid|  Trans.No. |
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|20190603|大商所  |线型低密度聚乙烯  |     l1909      |   卖|投机        |  7735.000|     1|    38675.00|  平              |      2.02|     -350.00|                 0.00|30432272    |
|20190603|大商所  |线型低密度聚乙烯  |     l1909      |   卖|投机        |  7735.000|     1|    38675.00|  平              |      2.02|     -350.00|                 0.00|30432368    |
|20190603|大商所  |线型低密度聚乙烯  |     l1909      |   卖|投机        |  7735.000|     1|    38675.00|  平              |      2.02|     -350.00|                 0.00|30432392    |
|20190603|大商所  |线型低密度聚乙烯  |     l1909      |   卖|投机        |  7735.000|     1|    38675.00|  平              |      2.02|     -350.00|                 0.00|30432413    |
|20190603|大商所  |线型低密度聚乙烯  |     l1909      |   卖|投机        |  7735.000|     1|    38675.00|  平              |      2.02|     -350.00|                 0.00|30432452    |
|20190603|大商所  |线型低密度聚乙烯  |     l1909      |   卖|投机        |  7735.000|     1|    38675.00|  平              |      2.02|     -350.00|                 0.00|30445667    |
|20190603|大商所  |线型低密度聚乙烯  |     l1909      |   卖|投机        |  7710.000|     5|   192750.00|开                |     10.12|        0.00|                 0.00|30478264    |
|20190603|大商所  |线型低密度聚乙烯  |     l1909      |   卖|投机        |  7660.000|     2|    76600.00|开                |      4.05|        0.00|                 0.00|30619582    |
|20190603|大商所  |线型低密度聚乙烯  |     l1909      |买   |投机        |  7645.000|    10|   382250.00|  平              |      6.23|     8000.00|                 0.00|30652581    |
|20190603|大商所  |线型低密度聚乙烯  |     l1909      |   卖|投机        |  7665.000|     5|   191625.00|开                |     10.11|        0.00|                 0.00|30880514    |
|20190603|大商所  |线型低密度聚乙烯  |     l1909      |   卖|投机        |  7655.000|     5|   191375.00|开                |     10.11|        0.00|                 0.00|30944798    |
|20190603|大商所  |线型低密度聚乙烯  |     l2001      |   卖|投机        |  7565.000|     4|   151300.00|开                |      8.09|        0.00|                 0.00|30793931    |
