|成交日期| 交易所 |       品种       |      合约      |买/卖|   投/保    |  成交价  | 手数 |   成交额   |       开平       |  手续费  |  平仓盈亏  |     权利金收支      |  成交序号  |
|  Date  |Exchange|     Product      |   Instrument   | B/S |    S/H     |   Price  | Lots |  Turnover  |       O/C        |   Fee    |Realized P/L|Premium Received/Paid|  Trans.No. |
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|20191029|大商所  |豆粕期权          |  m2001-C-3250  |买   |投机        |     4.500|     1|       45.00|  平              |      0.00|        0.00|               -45.00|10213856    |
|20191029|大商所  |豆粕期权          |  m2001-C-3250  |   卖|投机        |     4.500|    10|      450.00|开                |     10.50|        0.00|               450.00|10268751    |
|20191029|大商所  |豆粕期权          |  m2001-C-3250  |买   |投机        |     4.500|     4|      180.00|开                |      4.20|        0.00|              -180.00|10268778    |
|20191029|大商所  |豆粕期权          |  m2001-C-3250  |买   |投机        |     4.500|     6|      270.00|开                |      6.30|        0.00|              -270.00|10268779    |
|20191029|大商所  |豆粕期权          |  m2001-P-2800  |   卖|投机        |     3.500|     9|      315.00|开                |      9.45|        0.00|               315.00|10222205    |
|20191029|大商所  |豆粕期权          |  m2001-P-2800  |   卖|投机        |     3.500|     1|       35.00|开                |      1.05|        0.00|                35.00|10222781    |
|20191029|大商所  |豆粕期权          |  m2001-P-2800  |买   |投机        |     3.500|    10|      350.00|  平              |      0.00|        0.00|              -350.00|10222784    |
|20191029|大商所  |豆粕期权          |  m2001-P-2800  |买   |投机        |     3.000|    10|      300.00|  平              |     10.50|        0.00|              -300.00|10247719    |
|20191029|大商所  |豆粕期权          |  m2001-P-2800  |   卖|投机        |     3.000|    10|      300.00|开                |     10.50|        0.00|               300.00|10247722    |
|20191029|大商所  |豆粕期权          |  m2001-P-2800  |   卖|投机        |     3.500|     5|      175.00|  平              |      5.25|        0.00|               175.00|10316536    |
|20191029|大商所  |豆粕期权          |  m2001-P-2800  |   卖|投机        |     3.500|     5|      175.00|  平              |      5.25|        0.00|               175.00|10325072    |
|20191029|大商所  |豆粕期权          |  m2001-P-2800  |买   |投机        |     3.500|     5|      175.00|  平              |      0.00|        0.00|              -175.00|10325089    |
|20191029|大商所  |豆粕期权          |  m2001-P-2800  |买   |投机        |     3.500|     4|      140.00|  平              |      0.00|        0.00|              -140.00|10325090    |
|20191029|大商所  |豆粕期权          |  m2001-P-2800  |买   |投机        |     3.500|     1|       35.00|  平              |      0.00|        0.00|               -35.00|10325091    |
|20191029|大商所  |豆粕期权          |  m2001-P-2800  |   卖|投机        |     3.500|    10|      350.00|开                |     10.50|        0.00|               350.00|10325767    |
|20191029|大商所  |豆粕期权          |  m2001-P-2800  |买   |投机        |     3.500|     3|      105.00|开                |      3.15|        0.00|              -105.00|10325776    |
|20191029|大商所  |豆粕期权          |  m2001-P-2800  |买   |投机        |     3.500|     7|      245.00|开                |      7.35|        0.00|              -245.00|10325777    |
|20191029|大商所  |豆粕期权          |  m2001-P-2800  |   卖|投机        |     3.500|     5|      175.00|开                |      5.25|        0.00|               175.00|10330326    |
|20191029|大商所  |豆粕期权          |  m2001-P-2800  |   卖|投机        |     3.500|     1|       35.00|开                |      1.05|        0.00|                35.00|10349502    |
|20191029|大商所  |豆粕期权          |  m2001-P-2800  |   卖|投机        |     3.500|     2|       70.00|开                |      2.10|        0.00|                70.00|10370296    |
|20191029|大商所  |豆粕期权          |  m2001-P-2800  |   卖|投机        |     3.500|     2|       70.00|开                |      2.10|        0.00|                70.00|10370301    |
|20191029|大商所  |豆粕期权          |  m2001-P-2800  |买   |投机        |     3.500|     6|      210.00|  平              |      0.00|        0.00|              -210.00|10370327    |
|20191029|大商所  |豆粕期权          |  m2001-P-2800  |买   |投机        |     3.500|     4|      140.00|  平              |      0.00|        0.00|              -140.00|10370328    |
|20191029|大商所  |豆粕期权          |  m2001-P-2800  |   卖|投机        |     3.500|    10|      350.00|  平              |      0.00|        0.00|               350.00|10473961    |
|20191029|大商所  |豆粕期权          |  m2001-P-2800  |买   |投机        |     3.500|     3|      105.00|  平              |      0.00|        0.00|              -105.00|10473995    |
|20191029|大商所  |豆粕期权          |  m2001-P-2800  |买   |投机        |     3.500|     1|       35.00|  平              |      0.00|        0.00|               -35.00|10473996    |
|20191029|大商所  |豆粕期权          |  m2001-P-2800  |买   |投机        |     3.500|     1|       35.00|  平              |      0.00|        0.00|               -35.00|10474007    |
|20191029|大商所  |豆粕期权          |  m2001-P-2800  |买   |投机        |     3.500|     1|       35.00|  平              |      0.00|        0.00|               -35.00|10474008    |
|20191029|大商所  |豆粕期权          |  m2001-P-2800  |买   |投机        |     3.500|     4|      140.00|  平              |      0.00|        0.00|              -140.00|10475560    |
|20191029|大商所  |豆粕期权          |  m2001-P-2850  |   卖|投机        |     7.500|     5|      375.00|  平              |      5.25|        0.00|               375.00|10021578    |
|20191029|大商所  |豆粕期权          |  m2001-P-2850  |   卖|投机        |     7.500|     5|      375.00|  平              |      5.25|        0.00|               375.00|10023097    |
|20191029|大商所  |豆粕期权          |  m2001-P-2850  |买   |投机        |     7.500|     8|      600.00|  平              |      8.40|        0.00|              -600.00|10030695    |
|20191029|大商所  |豆粕期权          |  m2001-P-2850  |买   |投机        |     7.500|     2|      150.00|  平              |      2.10|        0.00|              -150.00|10030698    |
|20191029|大商所  |豆粕期权          |  m2001-P-2850  |   卖|投机        |     7.500|    10|      750.00|开                |     10.50|        0.00|               750.00|10030708    |
|20191029|大商所  |豆粕期权          |  m2001-P-2850  |买   |投机        |     7.500|    10|      750.00|开                |     10.50|        0.00|              -750.00|10034617    |
|20191029|大商所  |豆粕期权          |  m2001-P-2850  |买   |投机        |     6.500|    10|      650.00|  平              |      0.00|        0.00|              -650.00|10098528    |
|20191029|大商所  |豆粕期权          |  m2001-P-2850  |   卖|投机        |     6.500|    10|      650.00|开                |     10.50|        0.00|               650.00|10098531    |
|20191029|大商所  |豆粕期权          |  m2001-P-2850  |买   |投机        |     6.500|     1|       65.00|开                |      1.05|        0.00|               -65.00|10105021    |
|20191029|大商所  |豆粕期权          |  m2001-P-2850  |买   |投机        |     6.500|     9|      585.00|开                |      9.45|        0.00|              -585.00|10107442    |
|20191029|大商所  |豆粕期权          |  m2001-P-2850  |   卖|投机        |     6.500|    10|      650.00|开                |     10.50|        0.00|               650.00|10107464    |
|20191029|大商所  |豆粕期权          |  m2001-P-2850  |买   |投机        |     6.500|    10|      650.00|  平              |      0.00|        0.00|              -650.00|10107466    |
|20191029|大商所  |豆粕期权          |  m2001-P-2850  |   卖|投机        |     6.500|    10|      650.00|  平              |      0.00|        0.00|               650.00|10131843    |
|20191029|大商所  |豆粕期权          |  m2001-P-2850  |买   |投机        |     6.500|    10|      650.00|  平              |      0.00|        0.00|              -650.00|10131846    |
