|成交日期| 交易所 |       品种       |      合约      |买/卖|   投/保    |  成交价  | 手数 |   成交额   |       开平       |  手续费  |  平仓盈亏  |     权利金收支      |  成交序号  |
|  Date  |Exchange|     Product      |   Instrument   | B/S |    S/H     |   Price  | Lots |  Turnover  |       O/C        |   Fee    |Realized P/L|Premium Received/Paid|  Trans.No. |
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|20190829|大商所  |黄玉米            |     c2001      |买   |投机        |  1886.000|    10|   188600.00|  平              |     12.11|      800.00|                 0.00|10629581    |
|20190829|大商所  |黄玉米            |     c2001      |买   |投机        |  1885.000|    10|   188500.00|  平              |     12.11|      900.00|                 0.00|10633449    |
|20190829|大商所  |聚丙烯            |     pp2001     |   卖|投机        |  7881.000|     1|    39405.00|开                |      1.21|        0.00|                 0.00|30428459    |
|20190829|大商所  |聚丙烯            |     pp2001     |   卖|投机        |  7880.000|     1|    39400.00|开                |      1.21|        0.00|                 0.00|30428598    |
|20190829|大商所  |聚丙烯            |     pp2001     |   卖|投机        |  7882.000|     1|    39410.00|开                |      1.21|        0.00|                 0.00|30428744    |
|20190829|大商所  |聚丙烯            |     pp2001     |   卖|投机        |  7881.000|     1|    39405.00|开                |      1.21|        0.00|                 0.00|30429173    |
|20190829|大商所  |聚丙烯            |     pp2001     |   卖|投机        |  7880.000|     1|    39400.00|开                |      1.21|        0.00|                 0.00|30429521    |
|20190829|大商所  |聚丙烯            |     pp2001     |   卖|投机        |  7865.000|     1|    39325.00|开                |      1.20|        0.00|                 0.00|30444483    |
|20190829|大商所  |聚丙烯            |     pp2001     |   卖|投机        |  7865.000|     1|    39325.00|开                |      1.20|        0.00|                 0.00|30444484    |
|20190829|大商所  |聚丙烯            |     pp2001     |   卖|投机        |  7862.000|     1|    39310.00|开                |      1.20|        0.00|                 0.00|30447808    |
|20190829|大商所  |聚丙烯            |     pp2001     |   卖|投机        |  7862.000|     1|    39310.00|开                |      1.20|        0.00|                 0.00|30447816    |
|20190829|大商所  |聚丙烯            |     pp2001     |   卖|投机        |  7863.000|     1|    39315.00|开                |      1.20|        0.00|                 0.00|30448040    |
|20190829|大商所  |聚丙烯            |     pp2001     |   卖|投机        |  7791.000|     1|    38955.00|开                |      1.19|        0.00|                 0.00|30719511    |
|20190829|大商所  |聚丙烯            |     pp2001     |   卖|投机        |  7791.000|     1|    38955.00|开                |      1.19|        0.00|                 0.00|30719524    |
|20190829|大商所  |聚丙烯            |     pp2001     |   卖|投机        |  7791.000|     1|    38955.00|开                |      1.19|        0.00|                 0.00|30719540    |
|20190829|大商所  |聚丙烯            |     pp2001     |   卖|投机        |  7791.000|     1|    38955.00|开                |      2.36|        0.00|                 0.00|30719547    |
|20190829|大商所  |聚丙烯            |     pp2001     |   卖|投机        |  7791.000|     1|    38955.00|开                |      2.36|        0.00|                 0.00|30719551    |
|20190829|大商所  |聚丙烯            |     pp2001     |   卖|投机        |  7791.000|     1|    38955.00|开                |      2.36|        0.00|                 0.00|30719559    |
|20190829|大商所  |聚丙烯            |     pp2001     |   卖|投机        |  7791.000|     1|    38955.00|开                |      2.36|        0.00|                 0.00|30719565    |
|20190829|大商所  |聚丙烯            |     pp2001     |   卖|投机        |  7793.000|     1|    38965.00|开                |      2.36|        0.00|                 0.00|30719606    |
|20190829|大商所  |聚丙烯            |     pp2001     |   卖|投机        |  7790.000|     1|    38950.00|开                |      2.36|        0.00|                 0.00|30723364    |
|20190829|大商所  |聚丙烯            |     pp2001     |   卖|投机        |  7786.000|     1|    38930.00|开                |      2.36|        0.00|                 0.00|30724464    |
|20190829|大商所  |聚丙烯            |     pp2001     |   卖|投机        |  7782.000|     1|    38910.00|开                |      2.36|        0.00|                 0.00|30763052    |
|20190829|大商所  |聚丙烯            |     pp2001     |   卖|投机        |  7781.000|     1|    38905.00|开                |      2.36|        0.00|                 0.00|30763299    |
|20190829|大商所  |聚丙烯            |     pp2001     |   卖|投机        |  7781.000|     1|    38905.00|开                |      2.36|        0.00|                 0.00|30766839    |
|20190829|大商所  |聚丙烯            |     pp2001     |   卖|投机        |  7781.000|     1|    38905.00|开                |      2.36|        0.00|                 0.00|30766951    |
|20190829|大商所  |聚丙烯            |     pp2001     |   卖|投机        |  7781.000|     1|    38905.00|开                |      2.36|        0.00|                 0.00|30766995    |
|20190829|大商所  |聚丙烯            |     pp2001     |买   |投机        |  7786.000|     2|    77860.00|  平              |      2.38|      850.00|                 0.00|30831254    |
|20190829|大商所  |聚丙烯            |     pp2001     |买   |投机        |  7786.000|     3|   116790.00|  平              |      3.57|     1275.00|                 0.00|30831255    |
|20190829|大商所  |聚丙烯            |     pp2001     |买   |投机        |  7786.000|     1|    38930.00|  平              |      1.19|      425.00|                 0.00|30831256    |
