                                                结算单

账户：0029
日期：20190429
                                               资金状况                            币种：人民币
-----------------------------------------------------------------------------------------------
上次结算金：        4144685.36                                   交割手续费：              0.00
出 入 金：                0.00                                   期末结存：          4192553.65
平仓盈亏：            48400.00                                   保证金占用：              0.00
持仓盈亏：                0.00                                   可用资金：          4192553.65
手续费：                531.71                                   风险度：                 0.00%

-----------------------------------------------------------------------------------------------

                                               成交明细
-----------------------------------------------------------------------------------------------
| 成交日期 | 交易所 |  合约  | 买/卖 | 投/保 |  成交价  |  手数 |开平 |  手续费  |  成交编号  |
|  20190429|5496.00 |y1909   |买     |投机   |   5362.00|      1|平仓 |      220.00|10317265  |
|  20190429|5492.00 |y1909   |买     |投机   |   5362.00|      1|平仓 |      220.00|10317266  |
|  20190429|5492.00 |y1909   |买     |投机   |   5362.00|      3|平仓 |      660.00|10317267  |
|  20190429|5492.00 |y1909   |买     |投机   |   5362.00|      1|平仓 |      220.00|10317267  |
|  20190429|5446.00 |y1909   |买     |投机   |   5362.00|      1|平仓 |      220.00|10317268  |
|  20190429|5446.00 |y1909   |买     |投机   |   5362.00|      1|平仓 |      220.00|10317269  |
|  20190429|5446.00 |y1909   |买     |投机   |   5362.00|      2|平仓 |      440.00|10317269  |
|  20190429|5446.00 |y1909   |买     |投机   |   5362.00|      1|平仓 |      220.00|10317270  |
|  20190429|5446.00 |y1909   |买     |投机   |   5362.00|      1|平仓 |      220.00|10317271  |
|  20190429|5446.00 |y1909   |买     |投机   |   5362.00|      1|平仓 |      220.00|10317272  |
|  20190429|5446.00 |y1909   |买     |投机   |   5362.00|      1|平仓 |      220.00|10317273  |
|  20190429|5446.00 |y1909   |买     |投机   |   5362.00|      1|平仓 |      220.00|10317274  |
|  20190429|5446.00 |y1909   |买     |投机   |   5362.00|      1|平仓 |      220.00|10317274  |
|  20190429|5452.00 |y1909   |买     |投机   |   5362.00|      8|平仓 |     1760.00|10317274  |
|  20190429|5452.00 |y1909   |买     |投机   |   5362.00|      1|平仓 |      220.00|10317275  |
|  20190429|5452.00 |y1909   |买     |投机   |   5362.00|      4|平仓 |      880.00|10317276  |
|  20190429|5452.00 |y1909   |买     |投机   |   5362.00|      1|平仓 |      220.00|10317276  |
|  20190429|5452.00 |y1909   |买     |投机   |   5362.00|      2|平仓 |      440.00|10317277  |
|  20190429|5370.00 |y1909   |买     |投机   |   5362.00|      4|平仓 |      880.00|10317278  |
|  20190429|5370.00 |y1909   |买     |投机   |   5362.00|      6|平仓 |     1320.00|10317278  |
