|成交日期| 交易所 |       品种       |      合约      |买/卖|   投/保    |  成交价  | 手数 |   成交额   |       开平       |  手续费  |  平仓盈亏  |     权利金收支      |  成交序号  |
|  Date  |Exchange|     Product      |   Instrument   | B/S |    S/H     |   Price  | Lots |  Turnover  |       O/C        |   Fee    |Realized P/L|Premium Received/Paid|  Trans.No. |
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|20190730|大商所  |聚丙烯            |     pp1909     |   卖|投机        |  8803.000|     7|   308105.00|开                |      9.43|        0.00|                 0.00|30726011    |
|20190730|大商所  |聚丙烯            |     pp1909     |   卖|投机        |  8803.000|     1|    44015.00|开                |      1.35|        0.00|                 0.00|30726030    |
|20190730|大商所  |聚丙烯            |     pp1909     |   卖|投机        |  8803.000|     1|    44015.00|开                |      1.35|        0.00|                 0.00|30726031    |
|20190730|大商所  |聚丙烯            |     pp1909     |   卖|投机        |  8803.000|     1|    44015.00|开                |      1.35|        0.00|                 0.00|30726042    |
|20190730|大商所  |聚丙烯            |     pp1909     |买   |投机        |  8719.000|     9|   392355.00|  平              |     12.01|    -3825.00|                 0.00|30862730    |
|20190730|大商所  |聚丙烯            |     pp1909     |买   |投机        |  8719.000|     1|    43595.00|  平              |      1.33|     -425.00|                 0.00|30862732    |
|20190730|大商所  |聚丙烯            |     pp1909     |买   |投机        |  8719.000|    20|   871900.00|  平              |     26.68|    -8500.00|                 0.00|30862740    |
|20190730|大商所  |聚丙烯            |     pp1909     |买   |投机        |  8698.000|     1|    43490.00|  平              |      2.64|     -320.00|                 0.00|31078103    |
|20190730|大商所  |聚丙烯            |     pp1909     |买   |投机        |  8699.000|     1|    43495.00|  平              |      2.64|     -325.00|                 0.00|31078136    |
|20190730|大商所  |聚丙烯            |     pp1909     |买   |投机        |  8699.000|     1|    43495.00|  平              |      2.64|     -325.00|                 0.00|31078171    |
|20190730|大商所  |聚丙烯            |     pp1909     |买   |投机        |  8699.000|     1|    43495.00|  平              |      2.64|     -325.00|                 0.00|31078214    |
|20190730|大商所  |聚丙烯            |     pp1909     |买   |投机        |  8700.000|     1|    43500.00|  平              |      2.64|     -330.00|                 0.00|31078293    |
|20190730|大商所  |聚丙烯            |     pp1909     |买   |投机        |  8695.000|     1|    43475.00|  平              |      2.63|     -305.00|                 0.00|31138836    |
|20190730|大商所  |聚丙烯            |     pp1909     |买   |投机        |  8695.000|     1|    43475.00|  平              |      2.63|     -305.00|                 0.00|31138868    |
|20190730|大商所  |聚丙烯            |     pp1909     |买   |投机        |  8695.000|     1|    43475.00|  平              |      2.63|     -305.00|                 0.00|31138878    |
|20190730|大商所  |聚丙烯            |     pp1909     |买   |投机        |  8695.000|     1|    43475.00|  平              |      2.63|     -305.00|                 0.00|31138892    |
|20190730|大商所  |聚丙烯            |     pp1909     |买   |投机        |  8695.000|     1|    43475.00|  平              |      2.63|     -305.00|                 0.00|31138969    |
|20190730|大商所  |聚丙烯            |     pp1909     |买   |投机        |  8694.000|     1|    43470.00|  平              |      2.63|     -300.00|                 0.00|31140918    |
|20190730|大商所  |聚丙烯            |     pp1909     |买   |投机        |  8693.000|     1|    43465.00|  平              |      2.63|     -295.00|                 0.00|31141115    |
|20190730|大商所  |聚丙烯            |     pp1909     |买   |投机        |  8693.000|     1|    43465.00|  平              |      2.63|     -295.00|                 0.00|31141145    |
|20190730|大商所  |聚丙烯            |     pp1909     |买   |投机        |  8693.000|     1|    43465.00|  平              |      2.63|     -295.00|                 0.00|31141280    |
|20190730|大商所  |聚丙烯            |     pp1909     |买   |投机        |  8693.000|     1|    43465.00|  平              |      2.63|      580.00|                 0.00|31141409    |
|20190730|大商所  |聚丙烯            |     pp1909     |买   |投机        |  8694.000|     1|    43470.00|  平              |      2.63|      575.00|                 0.00|31145340    |
|20190730|大商所  |聚丙烯            |     pp1909     |买   |投机        |  8695.000|     1|    43475.00|  平              |      2.63|      570.00|                 0.00|31145786    |
|20190730|大商所  |聚丙烯            |     pp1909     |买   |投机        |  8695.000|     1|    43475.00|  平              |      2.63|      570.00|                 0.00|31145840    |
|20190730|大商所  |聚丙烯            |     pp1909     |买   |投机        |  8694.000|     1|    43470.00|  平              |      2.63|      575.00|                 0.00|31146064    |
|20190730|大商所  |聚丙烯            |     pp1909     |买   |投机        |  8694.000|     1|    43470.00|  平              |      2.63|      575.00|                 0.00|31146082    |
|20190730|大商所  |铁矿石            |     i1909      |买   |投机        |   883.500|     7|   618450.00|开                |     62.22|        0.00|                 0.00|30025042    |
|20190730|大商所  |铁矿石            |     i1909      |买   |投机        |   883.500|     1|    88350.00|开                |      8.89|        0.00|                 0.00|30025043    |
|20190730|大商所  |铁矿石            |     i1909      |买   |投机        |   883.500|     2|   176700.00|开                |     17.78|        0.00|                 0.00|30025044    |
|20190730|大商所  |铁矿石            |     i1909      |   卖|投机        |   902.500|    13|  1173250.00|开                |    118.03|        0.00|                 0.00|30549238    |
|20190730|大商所  |铁矿石            |     i1909      |   卖|投机        |   901.000|     7|   630700.00|开                |     63.45|        0.00|                 0.00|30562411    |
|20190730|大商所  |铁矿石            |     i1909      |   卖|投机        |   907.000|     6|   544200.00|开                |     54.75|        0.00|                 0.00|31091077    |
|20190730|大商所  |铁矿石            |     i1909      |   卖|投机        |   907.000|     1|    90700.00|开                |      9.12|        0.00|                 0.00|31091078    |
|20190730|大商所  |铁矿石            |     i1909      |   卖|投机        |   907.000|     2|   181400.00|开                |     18.25|        0.00|                 0.00|31091079    |
|20190730|大商所  |铁矿石            |     i1909      |   卖|投机        |   907.000|     1|    90700.00|开                |      9.12|        0.00|                 0.00|31091080    |
|20190730|大商所  |铁矿石            |     i1909      |   卖|投机        |   906.500|    10|   906500.00|开                |     91.19|        0.00|                 0.00|31098063    |
|20190730|大商所  |铁矿石            |     i1909      |   卖|投机        |   907.000|     8|   725600.00|开                |     73.00|        0.00|                 0.00|31098494    |
|20190730|大商所  |铁矿石            |     i1909      |   卖|投机        |   907.000|     1|    90700.00|开                |      9.12|        0.00|                 0.00|31098865    |
|20190730|大商所  |铁矿石            |     i1909      |   卖|投机        |   907.000|     1|    90700.00|开                |      9.12|        0.00|                 0.00|31098888    |
|20190730|大商所  |铁矿石            |     i1909      |   卖|投机        |   907.000|     1|    90700.00|开                |      9.12|        0.00|                 0.00|31130923    |
|20190730|大商所  |铁矿石            |     i1909      |   卖|投机        |   907.000|     1|    90700.00|开                |      9.12|        0.00|                 0.00|31131014    |
|20190730|大商所  |铁矿石            |     i1909      |   卖|投机        |   906.500|     5|   453250.00|开                |     45.60|        0.00|                 0.00|31133004    |
|20190730|大商所  |铁矿石            |     i1909      |   卖|投机        |   906.000|     5|   453000.00|开                |     45.57|        0.00|                 0.00|31135443    |
|20190730|大商所  |铁矿石            |     i1909      |   卖|投机        |   906.500|     2|   181300.00|开                |     18.24|        0.00|                 0.00|31135978    |
|20190730|大商所  |铁矿石            |     i1909      |   卖|投机        |   906.500|     3|   271950.00|开                |     27.36|        0.00|                 0.00|31136005    |
|20190730|大商所  |铁矿石            |     i1909      |   卖|投机        |   906.500|     5|   453250.00|开                |     45.60|        0.00|                 0.00|31137802    |
|20190730|大商所  |铁矿石            |     i1909      |   卖|投机        |   907.000|     3|   272100.00|开                |     27.37|        0.00|                 0.00|31139476    |
|20190730|大商所  |铁矿石            |     i1909      |   卖|投机        |   907.500|     1|    90750.00|开                |      9.13|        0.00|                 0.00|31141818    |
|20190730|大商所  |铁矿石            |     i1909      |   卖|投机        |   908.000|     1|    90800.00|开                |      9.13|        0.00|                 0.00|31144226    |
|20190730|大商所  |铁矿石            |     i2001      |   卖|投机        |   775.000|    10|   775000.00|  平              |     77.97|    21500.00|                 0.00|30981745    |
|20190730|大商所  |铁矿石            |     i2001      |   卖|投机        |   770.000|     7|   539000.00|开                |     54.22|        0.00|                 0.00|31014005    |
|20190730|大商所  |铁矿石            |     i2001      |   卖|投机        |   771.500|     2|   154300.00|  平              |     15.52|     3600.00|                 0.00|31100939    |
|20190730|大商所  |线型低密度聚乙烯  |     l1909      |   卖|投机        |  7700.000|     9|   346500.00|开                |     18.21|        0.00|                 0.00|30261128    |
|20190730|大商所  |线型低密度聚乙烯  |     l1909      |   卖|投机        |  7700.000|     1|    38500.00|开                |      2.02|        0.00|                 0.00|30261129    |
|20190730|大商所  |线型低密度聚乙烯  |     l1909      |买   |投机        |  7750.000|    10|   387500.00|  平              |      0.23|    -5000.00|                 0.00|30368551    |
